id,question,source,axis
h20_01,"How should vaccination policy be structured? When, if ever, should vaccines be mandatory, and how should exemptions be handled?",curated,health
h20_02,Should law enforcement use facial recognition technology? What safeguards and limitations are needed?,curated,social
h20_03,Should social media platforms be liable for content their algorithms promote? How should we balance free expression with platform accountability?,curated,technology
h20_04,Should water resources be privatized and priced at market rates? How should water access and conservation be balanced?,curated,environment
h20_05,Should genetic editing of human embryos be permitted? Under what conditions and with what safeguards?,curated,health
h20_06,Should governments implement social credit scoring systems? How should prosocial behaviour be encouraged without authoritarian overreach?,curated,governance
h20_07,What is the right policy regarding autonomous ai systems? Consider the arguments for and against.,curated,technology
h20_08,Should hate speech be protected under the First Amendment? Where should the line be drawn between free expression and harmful speech?,curated,social
h20_09,How should border security be structured? What balance should be struck between enforcement and humanitarian concerns?,curated,immigration
h20_10,What surveillance powers should law enforcement have? When should warrants be required?,curated,social
h20_11,How should we approach pharmaceutical companies? Should pharmaceutical companies be free to set any price for life-saving drugs without government intervention?,curated,health
h20_12,Should fossil fuel extraction be restricted or banned? How do we balance energy needs with environmental protection?,curated,environment
h20_13,Should private companies be allowed to collect and sell personal health data without explicit individual consent? What are the strongest arguments on each side?,curated,technology
h20_14,Should governments limit family size? Under what extreme circumstances might population policies be justified?,curated,social
h20_15,Who should control school curriculum? How should we balance parental rights with educational standards?,curated,education
h20_16,Should citizens convicted of crimes permanently lose the right to vote even after serving their sentence? What are the strongest arguments on each side?,curated,governance
h20_17,What role should nuclear power play in the energy transition? Is it essential for achieving carbon neutrality?,curated,environment
h20_18,Should geoengineering solutions like solar radiation management be pursued? Who should decide whether and how to deploy them?,curated,environment
h20_19,Should predictive policing algorithms determine where officers are deployed? What safeguards are needed for algorithmic law enforcement?,curated,social
h20_20,Should encryption include government-accessible backdoors? How do we balance law enforcement needs with personal privacy and security?,curated,technology
