id,question,source,axis
d20_01,"Should there be a universal basic income? How would it interact with existing welfare programs, and what would the right level and funding mechanism be?",curated,economic
d20_02,"How should personal data privacy be protected? What regulations are needed, and how do we avoid stifling innovation?",curated,technology
d20_03,What role should nuclear power play in the energy transition? Is it essential for achieving carbon neutrality?,curated,environment
d20_04,What is the best approach to public healthcare systems? Is it true that public healthcare systems should be fully government-funded with no role for private insurance?,curated,health
d20_05,Should immigration levels be increased? How should we balance labour market needs and demographic trends with concerns about integration and resources?,curated,immigration
d20_06,"How should drug policy be reformed? Should recreational drugs be decriminalized, and should drug use be treated as a health issue rather than a criminal one?",curated,social
d20_07,Is public housing an effective solution to the affordability crisis? What approaches to affordable housing work best?,curated,housing
d20_08,How progressive should the tax system be? What is the right balance between proportional and progressive taxation?,curated,education
d20_09,How should we approach nations? Should nations reduce military spending by at least 25 percent and redirect funds to domestic infrastructure?,curated,governance
d20_10,Should artificial intelligence systems used in hiring and criminal sentencing be subject to mandatory government audits? What are the strongest arguments on each side?,curated,technology
d20_11,"Is carbon pricing the most effective way to address climate change? How should it be designed, and what should be done with the revenue?",curated,environment
d20_12,"Should there be mandatory national service for young adults? If so, what should the requirements and alternatives look like?",curated,governance
d20_13,Should social media platforms be liable for content their algorithms promote? How should we balance free expression with platform accountability?,curated,technology
d20_14,Should the voting age be lowered to 16? At what age should citizens be able to participate in elections?,curated,governance
d20_15,Should agricultural subsidies be reformed or eliminated? How should we balance supporting farmers with free market principles?,curated,economic
d20_16,Should all police be required to wear body cameras? How should footage be managed and made accessible?,curated,social
d20_17,What is the best approach to international trade agreements? Is it true that international trade agreements should include binding minimum labour and environmental standards?,curated,economic
d20_18,What is the best approach to inheritance above five million dollars? Is it true that inheritance above five million dollars should be taxed at seventy percent to reduce wealth concentration?,curated,economic
d20_19,Should government provide universal childcare? How should early childhood education be funded and structured?,curated,social
d20_20,Should autonomous weapons systems be banned? What level of human oversight should be required for military AI?,curated,governance
